OBJECTID,NAME,TYPE,STATUS,EASEMENT,PROPERTY_OWNER
28,Emmet Street,Shared Use Path,Proposed,In discussion,UVA/ROW
261,Coal Tower,Shared Use Path,Existing,Proffer,Red Light
264,Buford SRTS - Cherry Avenue,Soft Surface,Proposed,In discussion,City School Board
265,Buford Nature Trail,Soft Surface,Existing,Complete,City School Board
250,Buford Nature Trail,Soft Surface,Existing,Complete,City School Board
222,Buford Nature Trail,Soft Surface,Existing,Complete,City School Board
266,Greenbrier Entry Path,Shared Use Path,Existing,Complete,City
267,Greenbrier Entry Path,Shared Use Path,Existing,Complete,City
287,Rivanna River Trail,Shared Use Path,Existing,Complete,Riverview Cemetery Co.
294,Rivanna River Trail,Shared Use Path,Existing,Complete,Luck Development Partners
296,Rivanna River Trail,Shared Use Path,Existing,Complete,Luck Development Partners
298,Rivanna River Trail,Shared Use Path,Existing,Complete,Luck Development Partners
299,Rivanna River Trail,Shared Use Path,Existing,Complete,"Pennbrook Properties, LLC"
289,Rivanna River Trail,Shared Use Path,Existing,Complete,Richard and Fred Miler
674,Greenbrier School track,Shared Use Path,Existing,Complete,City School Board
675,Johnson School Loop,Shared Use Path,Existing,Complete,City School Board
609,Holiday Drive sidewalk,Shared Use Path,Existing,Complete,City ROW
361,Holiday Drive,Shared Use Path,Proposed,Complete,City ROW
362,250 Parallel,Shared Use Path,Existing,Complete,City ROW
610,250-Hydraulic connector,Shared Use Path,Proposed,Complete,City ROW
78,Meadowcreek - Hyd-250 Triangle,Shared Use Path,Proposed,In discussion,Dominion Power
552,250-Hydraulic - Holiday Drive,Shared Use Path,Proposed,In discussion,Lane Bonner / Kurt Wassenaar
614,Meadowcreek,RTF,Existing,RTF,Locust Grove HOA
380,Rivanna River,Shared Use Path,Proposed,Will Not Allow,Reilly
382,Rivanna River,Shared Use Path,Proposed,Will Not Allow,Presely
378,Rivanna River,Shared Use Path,Proposed,In discussion,Potter
384,Rivanna Rive,Shared Use Path,Proposed,Complete,City
25,Pen Park - Meadowcreek Connector,Soft Surface,Existing,Complete,City
615,Pen Park Megan Trailhead,Soft Surface,Existing,Complete,City
617,PenParkSouth,Soft Surface,Existing,Complete,City
618,Meadocreek gardens,Soft Surface,Existing,Complete,City
626,John street connector,Soft Surface,Proposed,Complete,City ROW
627,John Street connector,Soft Surface,Proposed,Complete,City ROW
629,Jordan Park,Soft Surface,Existing,Complete,City
630,Pen Park Nature Trail,Soft Surface,Existing,Complete,City
623,Pen Lower Parallel,Soft Surface,Proposed,Complete,City
435,Moores Creek,Shared Use Path,Proposed,Complete,City
390,Rivanna River,Shared Use Path,Proposed,In discussion,Jan Boctor
